telemetry.time,telemetry.co2,deviceId
2022-11-03T08:24:28.0000000,563,DA00110034
2022-11-03T08:27:47.0000000,541,AMNO-03
2022-11-03T08:26:35.0000000,532,AMNO-03
2022-11-03T08:23:05.0000000,532,AMNO-03
2022-11-03T08:25:23.0000000,549,AMNO-03
2022-11-03T08:21:53.0000000,522,AMNO-03
2022-11-03T08:20:42.0000000,537,AMNO-03
2022-11-03T08:19:33.0000000,524,AMNO-03
2022-11-03T08:16:06.0000000,554,AMNO-03
2022-11-03T08:28:54.0000000,551,DA00110047
2022-11-03T08:27:39.0000000,537,DA00110047
2022-11-03T08:26:34.0000000,517,DA00110047
2022-11-03T08:19:13.0000000,507,DA00110047
2022-11-03T08:21:35.0000000,530,DA00110047
2022-11-03T08:22:53.0000000,525,DA00110047
2022-11-03T08:23:59.0000000,523,DA00110047
2022-11-03T08:20:30.0000000,500,DA00110047
2022-11-03T08:25:16.0000000,527,DA00110047
2022-11-03T08:17:57.0000000,494,DA00110047
2022-11-03T08:16:51.0000000,488,DA00110047
2022-11-03T08:15:35.0000000,484,DA00110047
2022-11-03T08:27:50.0000000,570,DA00100001
2022-11-03T08:25:28.0000000,558,DA00100001
2022-11-03T08:26:34.0000000,558,DA00100001
2022-11-03T08:28:56.0000000,574,DA00100001
2022-11-03T08:24:13.0000000,560,DA00100001
2022-11-03T08:22:57.0000000,550,DA00100001
2022-11-03T08:20:35.0000000,572,DA00100001
2022-11-03T08:21:51.0000000,561,DA00100001
2022-11-03T08:18:13.0000000,560,DA00100001
2022-11-03T08:15:50.0000000,545,DA00100001
2022-11-03T08:16:57.0000000,551,DA00100001
2022-11-03T08:19:29.0000000,550,DA00100001
2022-11-03T08:27:43.0000000,469,DA00110045
2022-11-03T08:28:59.0000000,494,DA00110045
2022-11-03T08:25:20.0000000,471,DA00110045
2022-11-03T08:22:59.0000000,474,DA00110045
2022-11-03T08:24:04.0000000,470,DA00110045
2022-11-03T08:26:38.0000000,492,DA00110045
2022-11-03T08:20:36.0000000,461,DA00110045
2022-11-03T08:21:41.0000000,490,DA00110045
2022-11-03T08:19:20.0000000,481,DA00110045
2022-11-03T08:18:05.0000000,482,DA00110045
2022-11-03T08:15:45.0000000,470,DA00110045
2022-11-03T08:17:00.0000000,467,DA00110045
2022-11-03T08:28:37.0000000,499,DA00110044
2022-11-03T08:26:17.0000000,503,DA00110044
2022-11-03T08:27:32.0000000,493,DA00110044
2022-11-03T08:22:42.0000000,510,DA00110044
2022-11-03T08:23:57.0000000,502,DA00110044
2022-11-03T08:25:03.0000000,491,DA00110044
2022-11-03T08:21:37.0000000,510,DA00110044
2022-11-03T08:20:21.0000000,497,DA00110044
2022-11-03T08:18:00.0000000,504,DA00110044
2022-11-03T08:19:16.0000000,504,DA00110044
2022-11-03T08:16:44.0000000,501,DA00110044
2022-11-03T08:15:39.0000000,486,DA00110044
2022-11-03T08:29:11.0000000,580,DA00110042
2022-11-03T08:27:55.0000000,578,DA00110042
2022-11-03T08:26:42.0000000,571,DA00110042
2022-11-03T08:20:50.0000000,542,DA00110042
2022-11-03T08:19:45.0000000,556,DA00110042
2022-11-03T08:18:30.0000000,558,DA00110042
2022-11-03T08:15:03.0000000,533,DA00110042
2022-11-03T08:17:23.0000000,530,DA00110042
2022-11-03T08:16:10.0000000,542,DA00110042
2022-11-03T08:25:49.0000000,491,DA00110041
2022-11-03T08:19:52.0000000,478,DA00110041
2022-11-03T08:29:27.0000000,543,DA00110040
2022-11-03T08:17:28.0000000,476,DA00110041
2022-11-03T08:16:10.0000000,478,DA00110041
2022-11-03T08:18:34.0000000,483,DA00110041
2022-11-03T08:28:22.0000000,540,DA00110040
2022-11-03T08:26:02.0000000,522,DA00110040
2022-11-03T08:27:07.0000000,540,DA00110040
2022-11-03T08:24:47.0000000,537,DA00110040
2022-11-03T08:23:33.0000000,527,DA00110040
2022-11-03T08:22:28.0000000,535,DA00110040
2022-11-03T08:21:13.0000000,514,DA00110040
2022-11-03T08:18:53.0000000,517,DA00110040
2022-11-03T08:20:08.0000000,532,DA00110040
2022-11-03T08:16:34.0000000,534,DA00110040
2022-11-03T08:15:19.0000000,528,DA00110040
2022-11-03T08:17:39.0000000,514,DA00110040
2022-11-03T08:28:22.0000000,435,DA00110038
2022-11-03T08:21:42.0000000,538,DA00110039
2022-11-03T08:19:19.0000000,516,DA00110039
2022-11-03T08:20:24.0000000,533,DA00110039
2022-11-03T08:18:00.0000000,517,DA00110039
2022-11-03T08:22:30.0000000,433,DA00110038
2022-11-03T08:21:23.0000000,442,DA00110038
2022-11-03T08:15:32.0000000,435,DA00110038
2022-11-03T08:27:32.0000000,626,DA00110037
2022-11-03T08:28:46.0000000,644,DA00110037
2022-11-03T08:26:27.0000000,622,DA00110037
2022-11-03T08:24:07.0000000,609,DA00110037
2022-11-03T08:25:12.0000000,630,DA00110037
2022-11-03T08:21:38.0000000,637,DA00110037
2022-11-03T08:22:52.0000000,609,DA00110037
2022-11-03T08:20:32.0000000,618,DA00110037
2022-11-03T08:16:54.0000000,586,DA00110037
2022-11-03T08:19:17.0000000,563,DA00110037
2022-11-03T08:18:12.0000000,583,DA00110037
2022-11-03T08:15:40.0000000,578,DA00110037
2022-11-03T08:29:08.0000000,541,DA00110036
2022-11-03T08:26:47.0000000,517,DA00110036
2022-11-03T08:28:02.0000000,533,DA00110036
2022-11-03T08:25:41.0000000,530,DA00110036
2022-11-03T08:23:11.0000000,524,DA00110036
2022-11-03T08:24:25.0000000,509,DA00110036
2022-11-03T08:20:50.0000000,507,DA00110036
2022-11-03T08:22:04.0000000,515,DA00110036
2022-11-03T08:19:43.0000000,502,DA00110036
2022-11-03T08:17:15.0000000,495,DA00110036
